Date,Symbol,Close,Volume,SMA_20,RSI
2021-03-11 23:00:00+00:00,BNP.PA,37.520904541015625,3674350,35.52998809814453,72.0537062528416
2021-03-14 23:00:00+00:00,BNP.PA,36.637306213378906,3517252,35.681259346008304,62.30606960287522
2021-03-15 23:00:00+00:00,BNP.PA,36.18490982055664,4684324,35.807790184020995,55.31809052832859
2021-03-16 23:00:00+00:00,BNP.PA,36.5312728881836,4296573,35.9502254486084,56.891324766139554
2021-03-17 23:00:00+00:00,BNP.PA,37.38659286499024,4194017,36.15574932098389,67.86947291818616
2021-03-18 23:00:00+00:00,BNP.PA,36.15663528442383,7982627,36.255595207214355,58.60013331361729
2021-03-21 23:00:00+00:00,BNP.PA,35.84560775756836,2998334,36.30542984008789,51.19924527550431
2021-03-22 23:00:00+00:00,BNP.PA,35.59819793701172,2889131,36.33759231567383,43.1451259735731
2021-03-23 23:00:00+00:00,BNP.PA,36.13542556762695,2771440,36.371169090270996,47.50231935481242
2021-03-24 23:00:00+00:00,BNP.PA,35.9304313659668,2736694,36.389547729492186,46.494467516510824
2021-03-25 23:00:00+00:00,BNP.PA,36.52420425415039,3104897,36.474195671081546,42.115779643179906
2021-03-28 22:00:00+00:00,BNP.PA,35.81732940673828,3462888,36.528448295593265,40.733558051380946
2021-03-29 22:00:00+00:00,BNP.PA,37.19573974609375,3299916,36.6051441192627,49.423403479760665
2021-03-30 22:00:00+00:00,BNP.PA,36.67265319824219,3197484,36.61079921722412,48.19277996241041
2021-03-31 22:00:00+00:00,BNP.PA,36.86351013183594,2303620,36.628470993041994,46.11528539573452
2021-04-05 22:00:00+00:00,BNP.PA,36.722129821777344,2729433,36.64119472503662,50.54944131731496
2021-04-06 22:00:00+00:00,BNP.PA,36.96246719360352,2275896,36.60726490020752,55.17886905971791
2021-04-07 22:00:00+00:00,BNP.PA,36.75747680664063,2845763,36.586412048339845,51.53553338926696
2021-04-08 22:00:00+00:00,BNP.PA,36.375762939453125,2616756,36.54046516418457,42.666685854430156
2021-04-11 22:00:00+00:00,BNP.PA,36.34748840332031,2450579,36.50830230712891,51.676987154863625
