Date,Symbol,Close,Volume
2021-02-15 00:00:00+01:00,TTE.PA,27.073974609375,10171605
2021-02-16 00:00:00+01:00,TTE.PA,26.96653938293457,9086169
2021-02-17 00:00:00+01:00,TTE.PA,27.38887596130371,8746290
2021-02-18 00:00:00+01:00,TTE.PA,27.09991455078125,7942637
2021-02-19 00:00:00+01:00,TTE.PA,27.377758026123047,7848775
2021-02-22 00:00:00+01:00,TTE.PA,27.763046264648438,8724065
2021-02-23 00:00:00+01:00,TTE.PA,28.38543701171875,11048892
2021-02-24 00:00:00+01:00,TTE.PA,28.878164291381836,7987796
2021-02-25 00:00:00+01:00,TTE.PA,29.233810424804688,10111097
2021-02-26 00:00:00+01:00,TTE.PA,28.4335994720459,10736610
2021-03-01 00:00:00+01:00,TTE.PA,28.774429321289062,6866121
2021-03-02 00:00:00+01:00,TTE.PA,28.833703994750977,5794344
2021-03-03 00:00:00+01:00,TTE.PA,29.126373291015625,5886246
2021-03-04 00:00:00+01:00,TTE.PA,30.052549362182617,10044460
2021-03-05 00:00:00+01:00,TTE.PA,30.360044479370117,11439169
2021-03-08 00:00:00+01:00,TTE.PA,30.319292068481445,9723534
2021-03-09 00:00:00+01:00,TTE.PA,30.130353927612305,7349666
2021-03-10 00:00:00+01:00,TTE.PA,30.608251571655273,6460112
2021-03-11 00:00:00+01:00,TTE.PA,30.926870346069336,6317586
2021-03-12 00:00:00+01:00,TTE.PA,31.260292053222656,5859380
2021-03-15 00:00:00+01:00,TTE.PA,30.593446731567383,6486139
2021-03-16 00:00:00+01:00,TTE.PA,30.204444885253906,7763507
2021-03-17 00:00:00+01:00,TTE.PA,30.089597702026367,7091584
2021-03-18 00:00:00+01:00,TTE.PA,29.959936141967773,7257522
2021-03-19 00:00:00+01:00,TTE.PA,29.808046340942383,19589808
2021-03-22 00:00:00+01:00,TTE.PA,29.43757438659668,5478764
2021-03-23 00:00:00+01:00,TTE.PA,29.222700119018555,6582096
2021-03-24 00:00:00+01:00,TTE.PA,29.6857852935791,5912545
2021-03-25 00:00:00+01:00,TTE.PA,29.18857765197754,7654953
2021-03-26 00:00:00+01:00,TTE.PA,29.501220703125,6016964
2021-03-29 00:00:00+02:00,TTE.PA,29.941936492919922,4978205
2021-03-30 00:00:00+02:00,TTE.PA,30.322372436523438,7384999
2021-03-31 00:00:00+02:00,TTE.PA,29.964529037475586,7612862
2021-04-01 00:00:00+02:00,TTE.PA,29.45601463317871,7635402
2021-04-06 00:00:00+02:00,TTE.PA,29.24507713317871,6503814
2021-04-07 00:00:00+02:00,TTE.PA,29.3166446685791,4598272
2021-04-08 00:00:00+02:00,TTE.PA,28.82320213317871,6964071
2021-04-09 00:00:00+02:00,TTE.PA,28.510555267333984,6503641
2021-04-12 00:00:00+02:00,TTE.PA,28.378725051879883,5512721
2021-04-13 00:00:00+02:00,TTE.PA,28.53316307067871,5965920
2021-04-14 00:00:00+02:00,TTE.PA,28.849571228027344,6024321
2021-04-15 00:00:00+02:00,TTE.PA,28.627328872680664,4827479
2021-04-16 00:00:00+02:00,TTE.PA,28.589662551879883,5378963
2021-04-19 00:00:00+02:00,TTE.PA,28.657466888427734,3417176
2021-04-20 00:00:00+02:00,TTE.PA,27.768505096435547,8078750
2021-04-21 00:00:00+02:00,TTE.PA,27.80240821838379,8902901
2021-04-22 00:00:00+02:00,TTE.PA,27.79488182067871,5744256
2021-04-23 00:00:00+02:00,TTE.PA,27.70447540283203,4143678
2021-04-26 00:00:00+02:00,TTE.PA,27.768505096435547,4853080
2021-04-27 00:00:00+02:00,TTE.PA,27.715776443481445,5038308
2021-04-28 00:00:00+02:00,TTE.PA,28.209224700927734,5547579
2021-04-29 00:00:00+02:00,TTE.PA,27.94931411743164,6974192
2021-04-30 00:00:00+02:00,TTE.PA,27.742143630981445,7202915
2021-05-03 00:00:00+02:00,TTE.PA,28.05478858947754,4106273
2021-05-04 00:00:00+02:00,TTE.PA,28.37495994567871,8099356
2021-05-05 00:00:00+02:00,TTE.PA,29.39198112487793,7941114
2021-05-06 00:00:00+02:00,TTE.PA,29.48615074157715,6125235
2021-05-07 00:00:00+02:00,TTE.PA,29.418350219726562,5581911
2021-05-10 00:00:00+02:00,TTE.PA,29.636816024780273,4658841
2021-05-11 00:00:00+02:00,TTE.PA,28.943735122680664,5948412
2021-05-12 00:00:00+02:00,TTE.PA,29.606685638427734,5770670
2021-05-13 00:00:00+02:00,TTE.PA,29.237550735473633,5223652
2021-05-14 00:00:00+02:00,TTE.PA,29.945703506469727,5244515
2021-05-17 00:00:00+02:00,TTE.PA,29.99089813232422,4081153
2021-05-18 00:00:00+02:00,TTE.PA,29.904264450073242,6041487
2021-05-19 00:00:00+02:00,TTE.PA,28.9173641204834,7239048
